[enu default]
// Examine Computer, before Alchemiter
//Mamz_1
SCEN6LINE55= "BH: you know that cylinder thing you got a lil while ago? you might wanna do something with that... maybe on those machine things i put down or somethin";


// Examine Computer, start Reckoning
//Mamz_1
SCEN6LINE56= "BH: ey go deal with that stuff the machine thing ejected yea?";


// Examine Computer, pre-Reckoning
//Mamz_6
SCEN6LINE57= "BH: uh i guess i could help you with this one... you got anythin heavy in this here house i could use on that lid?";


// Examine Computer, First time
SCEN6LINE58= "\c[Mamz]ballsyHellraiser [BH]\n\nstarted badgering\n\n\c[Seiga]vivaciousHollows [VH]";
SCEN6LINE58a= "ballsyHellraiser [BH] started badgering vivaciousHollows [VH]";
//Mamz_1
SCEN6LINE59= "BH: top of the mornin";
//Seiga_1
SCEN6LINE60= "VH: It's Kaku, by the way. Seiga Kaku.";
//Mamz_6
SCEN6LINE61= "BH: wha";
//Seiga_6
SCEN6LINE62= "VH: My name.";
//Mamz_2
SCEN6LINE63= "BH: oh";
SCEN6LINE63a= "alritey then";
//Seiga_4
SCEN6LINE64= "VH: Sorry about earlier. That was the pressure talking, I can assure you that.";
//Mamz_1
SCEN6LINE65= "BH: i figured as much, so yea thats alright i guess since everyones kinda bein all weird tonight and i reckon its cuz everyone just nervous for this whole thing";
//Mamz_6
SCEN6LINE66= "BH: i mean it is a pretty big responsibility from what ive been told";
//Seiga_4
SCEN6LINE67= "VH: It really is~\nThat's why I don't want to mess up here. I'm going first, after all, so I have to set a good example for everyone else following!";
//Seiga_6
SCEN6LINE68= "VH: And I was paired with a newcomer at a time like this...";
//Mamz_6
SCEN6LINE69= "BH: yea i kinda get you im sorry ill try not to be too much of a nuisance";
//Mamz_1
SCEN6LINE70= "BH: so yea im gonna get this thing goin, alritey kaku?";
SCEN6LINE71= "BH: im gonna try and establish some connection thing or whatever to you right now";
//Seiga_6
SCEN6LINE72= "VH: Tch.";
SCEN6LINE72a= "I'm sorry, I just can't stand your simple vernacular. This just isn't very exciting.";
//Mamz_6
SCEN6LINE73= "BH: uh";
SCEN6LINE73a= "well just bear with me okay?";
//Seiga_6
SCEN6LINE74= "VH: You know, if it weren't for you, I'd have someone much more alluring as my server player.";
//Mamz_6
SCEN6LINE75= "BH: thats just too bad cuz you got me, im not that bad am i?";
//Seiga_2
SCEN6LINE76= "VH: I mean, you may not be as gallant as our goldenrod emcee but I'm willing to bet you're extremely rugged and super macho, aren't you? You certainly talk like a brute.";
//Mamz_6
SCEN6LINE77= "BH: wha";
SCEN6LINE78= "BH: are you seriously hittin on me";
SCEN6LINE79= "BH: and insultin me at the same time";
//Mamz_5
SCEN6LINE80= "BH: wow";
//Mamz_6
SCEN6LINE81= "BH: youre kinda like uhh whats that word\n\nlike a coquette or somethin right";
//Seiga_1
SCEN6LINE82= "VH: What about \"vixen\"? Sounds more enticing, in my opinion.";
//Mamz_6
SCEN6LINE83= "BH: that sounds kinda bad";
//Seiga_4
SCEN6LINE84= "VH: Geez, I'm just joking around to keep myself awake. I'm trying to make the best out of our situation.";
//Mamz_3
SCEN6LINE85= "BH: oh";
SCEN6LINE86= "\n\nuh so you wanna play around a bit to wake you up huh? yknow just some laughs to perk you up";
//Seiga_4
SCEN6LINE87= "VH: I guess? I don't know.";
//Mamz_5 (As Murasa)
SCEN6LINE88= "BH: Y'arr, how about this? Don't I sound extremely rugged 'n macho? Does this nah get yer rocks off or wha'? I be all about this macho life. Look how macho 'this is!";
//Seiga_6
SCEN6LINE89= "VH: ...";
SCEN6LINE89a= "Don't ever do that again.";
//Mamz_6
SCEN6LINE90= "BH: oh";
SCEN6LINE90a= "i guess that wasnt very funny huh?";
//Mamz_3
SCEN6LINE91= "BH: weird my friend always found that funny i thought youd get a kick outta that too";
//Seiga_2
SCEN6LINE92= "VH: No, it wasn't. I think I'd prefer just you and not this weird pretend thing you've got going on here.";
//Mamz_6
SCEN6LINE93= "BH: uh";
SCEN6LINE93a= "\ni dont know if youre still hittin on me";
SCEN6LINE93b= "\n\ndid that count?";
//Seiga_2
SCEN6LINE94= "VH: It could have.";
//Mamz_6
SCEN6LINE95= "BH: look, matters of the heart arent that easy for me to be talkin\n\nits weird";
//Seiga_3
SCEN6LINE96= "VH: Oh? Did you not like that? I countered your awkward statement with my own awkward statement~";
//Mamz_6
SCEN6LINE97= "BH: my joke was awkward?";
//Seiga_2
SCEN6LINE98= "VH: Way off the charts~";
//Mamz_6
SCEN6LINE99= "BH: look, i'll put all your things down in a bit so just ask if you need anythin from me";
//Seiga_2
SCEN6LINE100= "VH: Thank you~ <3";
//Mamz_5
SCEN6LINE101= "BH: hey no stop that";
SCEN6LINE102= "\c[Mamz]ballsyHellraiser [BH]\n\nceased badgering\n\n\c[Seiga]vivaciousHollows [VH]";
SCEN6LINE102a= "ballsyHellraiser [BH] ceased badgering vivaciousHollows [VH]";


// Examine Computer, While Placing Objects
//Mamz_1
SCEN6LINE103= "BH: says here on the manual that you switch with S key and place with A key... im supposed to also personally hand you the pre-punched card thing or whatever";
//Mamz_3
SCEN6LINE104= "BH: kinda neat that i can go around your house if i just click the weird red arrow things too heh heh heh";


// Talk to Sprite, First Time
SCEN6LINE105= "EMBRYOSPRITE: Uuughhhh...";


//Talk to Sprite, Second Time
SCEN6LINE106= "EMBRYOSPRITE: *hic* *hic*";


//Talk to Sprite, Third Time
SCEN6LINE107= "EMBRYOSPRITE: I don't want to talk...";


// Examine Embryo Jar 1
SCEN6LINE108= "This one's a fresh batch straight from the lab across the street. A few of them are displaying signs of mutation, though, which is no surprise as to why they were rejected.";


// Examine IP Man Poster
SCEN6LINE109= "One day you, too, will master the Wing Chun style and kick everybody to next week.\n\nYes.";


// Getting Blackberry off the Desk
SCEN6LINE110= "> Seiga: Examine BLACKBERRY.";
SCEN6LINE111= "You already downloaded the CD files onto your blackberry. You have to use it to contact other players.";
SCEN6LINE112= "> Seiga: Captchalogue it.";
SCEN6LINE113= "You can access your phone using the E key, by default.";
SCEN6LINE114= "> Seiga: Answer server player.";
SCEN6LINE115= "Looks like your SERVER PLAYER is messaging you...";


// Examine Stuffed Rabbit
SCEN6LINE116= "It's rare to see any actual WILDLIFE around these days. You were pretty proud to have captured this one a while back. It's hard to believe that these were the ancestors of one of the most prominent FRONTLINERS of today.";


// Examine Talismans
SCEN6LINE117= "You've been saving these for a while. You can use these TALISMANS to control the dead. Unfortunately, they haven't worked on any of the ones in your house. You still keep them though as they might come in handy someday.";


// Examine Equipment
SCEN6LINE118= "Scattered pens and picks fall from the table.\n\nYou really need to tidy this up sometime, maybe.";


// Examine Prototyping Embryo
SCEN6LINE119= "It's one of the newer samples you got as of late. This one seems to have come from an actual human... which is rare since they usually don't throw out human embryos. It must've had some sort of defect.";


// Examine Stuffed Wolf
SCEN6LINE120= "It's rare to see any actual WILDLIFE around these days. You were pretty proud to have captured this one a while back. It's hard to believe that these were the ancestors of one of the most prominent FRONTLINERS of today.";


// Examine Clock
SCEN6LINE121= "Your disc finished downloading around 1:18 AM, as you remember. You have no idea why THAT WITCH wanted to do this so early. You had no choice since it was her birthday, after all...";


// Examine Embryo Jar 2
SCEN6LINE122= "That one up there was REJECTED late into development, which is a little sad, but makes for good research material.";


// Examine Embryo Jar 3
SCEN6LINE123= "These are older batches. You like looking at them though. Reminds you how great it is to be alive, at least... for the ones deserving of life. These ones were cryptid hybrids, which is pretty gross, you think.";


// Examine Closet
SCEN6LINE124= "Underneath various piles of clothes are old, unopened gifts of unknown origin. You really don't feel like opening any of them up... ever.";


// Examine Hangover Poster
SCEN6LINE125= "WE'RE THE THREE BEST FRIENDS THAT ANYBODY COULD HAVE, WE'RE THE THREE BEST FRIENDS THAT ANYBODY COULD HAVE, WE'RE THE THREE BEST FRIENDS THAT ANYBODY COULD HAVE, AND WE NEVER EVER EVER EVER EVER LEAVE EACH OTHER.";


// Examine Trainging Maniquian
SCEN6LINE126= "When you're not messing with dead specimens, you're practicing martial arts, and this thing and its many chips and dents can vouch for that.";


// Examine Living Room Plant
SCEN6LINE127= "But then the ceiling fell and they were trapped and not able to kill.\n\"NO! I MUST KILL THE DEMONS!\" he shouted.\nThe radio said, \"No, John. You are the demons.\"\nAnd then John was a zombie.";
SCEN6LINE128= "Everything needs to be described, ok!";


// Examine Thermostat
SCEN6LINE129= "You always make sure to keep the thermostat at a relatively low temperature in your dwelling, so your WORK doesn't get ruined.";


// Examine Kung Fu Panda Poster
SCEN6LINE130= "One of your friends sent this to you as a joke a while back. Jack Black panda is just extremely painful to watch. You think he should stick to singing songs about PROCREATION.";


// Examine Trash Can
SCEN6LINE131= "The remains of an old, shattered jar is still in there. You were considering getting rid of it knowing that broken glass isn't really something you'd want around but, you don't trust anybody outside. It's barbaric out there.";


// Examine Microwave
SCEN6LINE132= "During extremely lonely nights, you sometimes wonder, \"What would happen if I stuck one of the jars in there?\"\n\nThat's a stupid idea, obviously.";


// Examine Fridge
SCEN6LINE133= "Sometimes you keep your tiny specimens in here. Helps preserve them when you're running low on formaldehyde. There are two jars in here. Nothing too spectacular.";


// Examine Stuffed Elk
SCEN6LINE134= "This was your father's handiwork. You can't begin to imagine yourself landing one of these. This looks way too HEAVY for you to even handle yourself. You'll just stick to SMALLER VERMIN.";


// Examine Dresser
SCEN6LINE135= "Nothing here but untouched clothes.\n\nIt's mothbait.";


// Examine Washing Machine
SCEN6LINE136= "Why they wanted these to run on nuclear power you'll never know.";


// Examine Bong Embryo
SCEN6LINE137= "You didn't know where else to stick this one in... It's not like you use it for its intended purpose.";


// Examine DVD
SCEN6LINE138= "Did you know Bruce Lee was trained by Ip Man? That makes him a hero by association. Maybe...You're not gonna lie, the DVD itself is interesting, you guess. You'd recommend it to other avid marial arts enthusiasts.";


// Examine TV
SCEN6LINE139= "You had to install your \c[DarkGrey]SKI\c[Grey]MA\c- CDs via your DVD player. You didn't think it would work, but it did.";
SCEN6LINE139a= "You had to install your SKIMA CDs via your DVD player. You didn't think it would work, but it did.";


// Examine CD Pile
SCEN6LINE140= "It's your father's old audiobooks. You've never listened to them as you'd find that disrespectful to mess with his things. What if he comes back and scolds you if you do? See, you've got responsibilities to think about...";


// Examine Front Door
SCEN6LINE141= "There are ants under your feet. You might accidentally step on them, so please don't continue in that direction.";


// Examine Life Seed
SCEN6LINE142= "You got the RARE MIXTURE for this one from... some friend, it doesn't matter. What does matter is that the mixture is a POTENT growth nectar. It's extremely FERTILE and anything placed in it will grow quicker than usual.";
SCEN6LINE143= "You didn't really know what to put in there, so you just stuck another specimen in. It grew bigger for a while but stopped eventually. You can't make dead things grow. That's just common sense.";

// Life Seed Choice
//Seiga_4
SCEN6LINE146= "VH: What a shame~ I was saving this for something important...";
//Mamz_5
SCEN6LINE147= "BH: just get it over with, GOD damn";

SCEN6LINE144= "> Seiga: Plant seed inside jar.";
SCEN6LINE144a= "Seiga: Plant seed inside jar.";
SCEN6LINE145= "> Seiga: No way, that's a waste!";
SCEN6LINE145a= "Seiga: No way, that's a waste!";

//Seiga_6
SCEN6LINE148= "VH: I'm never going to get another mixture like this in a lifetime, you know.";
//Mamz_6
SCEN6LINE149= "BH: your life should be more important than that shitty jar, kaku";
//Seiga_4
SCEN6LINE150= "VH: I guess, but still, I think I need time to think about this.";

//Seiga_4
SCEN6LINE151= "VH: Ugh.";


// Examine Bathroom Plant 1
SCEN6LINE152= "Then cooperate and give me that yummy\nLick you from your tater, to your tot, to your tummy\nGirl don't love me, use me and abuse me\nTreat me like a pirate and give me that booty";
SCEN6LINE153= "Everything needs to be described, ok!";

// Examine Bathroom Plant 2
SCEN6LINE154= "Imma Ma'Fuckin Star (Star)\nLook At The Paint On The Car (Car)\nToo Much Rim Make The Ride Too Hard\nTell That Bitch Hop Out, Walk The Boulevard";
SCEN6LINE155= "Everything needs to be described, ok!";

// Examine Mirror
SCEN6LINE156= "Lookin' good.\n\nThe perfect visage, designed to lure in needy, annoying suitors that end up being total sociopaths.";

// Examine Mirror 2
SCEN6LINE157= "There's still some writing in here from the last owner...\n\c[DarkGray]\"[2/8/2013 3:37:28 AM] dk: helloooooooooooooooooooo\n\c[DarkGray][2/8/2013 3:38:06 AM] SpaceGhostPurpp: shut up\n\c[DarkGray][2/8/2013 3:54:01 AM] dk: echoooooooooooo\"";
SCEN6LINE157a= "There's still some writing in here from the last owner... "[2/8/2013 3:37:28 AM] dk: helloooooooooooooooooooo [2/8/2013 3:38:06 AM] SpaceGhostPurpp: shut up [2/8/2013 3:54:01 AM] dk: echoooooooooooo"";

// Examine Bathtub
SCEN6LINE158= "You like to do your work while bathing sometimes. It'sprobably why the bathroom smells like formaldehyde most of the time. You wonder if you also smell like formaldehyde, but that's probably not true, you think.";

// Examine Shitty Candles
SCEN6LINE159= "It's a plate of incredibly SHITTY CANDLES. They're scented and all but even that can't fight the stench of formaldehyde and broken dreams.";

// Examine Grooming Items
SCEN6LINE160= "It takes a lot of effort to tame your almost indomitable hair. This stuff kind of just helps a little with that. You don't mind giving up whatever it may be just to look your best. You're still talking about your hair, by the way.";

// Examine Sink
SCEN6LINE161= "This sink has drained gallons of various types of chemicals. It's surprising that thing hasn't clogged EVER.";

// Examine Toilet
SCEN6LINE162= "... No, despite speculation, you've never flushed any of your specimens down there before. Though, sometimes, you think about it, but you have a feeling you'd get in trouble if you did.";

// Examine Medicine Cabinet
SCEN6LINE163= "It's mostly full of different types of preservative chemicals. After all, the bathroom is the best place to experiment with these things, for hygiene's sake.";

// Examine Dressing Table
SCEN6LINE164= "Oh, THEIR photograph is still on there. You want to get rid of it but you just never found the time to. Maybe when you're less busy or something, who knows? Seriously, what a douche bag. They don't belong to be on this dresser.";


// Examine Alchemiter
SCEN6LINE165= "> Seiga: Use totem on alchemiter.";
SCEN6LINE166= "> Seiga: Complain, again, to server.";
//Seiga_5
SCEN6LINE167= "VH: What do I do with this!?";
//Mamz_6
SCEN6LINE168= "BH: what is that like an ant or somethin";
//Seiga_6
SCEN6LINE169= "VH: It's a seed, you moronic hick. Now, what do I do with it? Plant it or something?";
//Seiga_5
SCEN6LINE170= "VH: Wait, wait, do you hear that? Look out your window and tell me if you see anything unusual!";
//Mamz_6
SCEN6LINE171= "BH: huh looks kinda like a meteor or somethin, like some red speck in the sky";
//Seiga_5
SCEN6LINE172= "VH: You've got to be kidding me!";
//Mamz_1
SCEN6LINE173= "BH: yea i think i read about this";
SCEN6LINE174= "BH: its the reckonin so you better hurry up and do somethin with that seed thing";
//Seiga_6
SCEN6LINE175= "VH: Like what? Toss it!? Plant it!? This game is being too vague about everything!";
//Mamz_2
SCEN6LINE176= "BH: wow haha, man youre one funny broad you know that? go look for somethin to plant it in, you got all these jars and stuff after all";
//Mamz_6
SCEN6LINE177= "BH: speakin of which... you got anythin fertile around your house? i mean i probably shouldnt be askin that considerin you got all these aborted babies";
//Seiga_4
SCEN6LINE178= "VH: Hm... fertile, huh?";
SCEN6LINE179= "> Seiga: Search for fertile object.";

// Examine Dowel
SCEN6LINE180= "> Seiga: Captchalogue cruxite dowel.";
SCEN6LINE181= "> Seiga: Take cruxite to totem lathe.";

// Mamz Takes Sink
//Seiga_5
SCEN6LINE182= "VH: Hey, what do you think you're doing!?";
//Mamz_2
SCEN6LINE183= "BH: ah ha ha ha ha";

// Mamz Takes Toilet
//Seiga_5
SCEN6LINE184= "VH: You cretin, put down my toilet! Hey, stop that!";
//Mamz_2
SCEN6LINE185= "BH: pfft ha ha ha ha, time to sacrifice you to the toilet gods";

// Machinary Lines
MACH1LINE1= "A totem lathe should go here.";
MACH1LINE2= "You can't access it from this angle.";
MACH1LINE3= "An alchemiter should go here.";
MACH1LINE4= "This requires CARVED CRUXITE DOWELS to work.";
MACH1LINE5= "There are things in the way!\n\nPlease remove them first!";
MACH1LINE6= "A cruxtruder should go here.";
MACH1LINE7= "You're going to need help from your server to get that lid off.";
MACH1LINE8= "Time is ticking...";


////////////////////
// Scenario 5 //////
////////////////////
SCEN5LINE1= "> Byakuren: Captchalogue urn.";
SCEN5LINE2= "Creepy.";
SCEN5LINE2a= "\n\nWell, looks like you have an urn now.";
SCEN5LINE3= "> Byakuren: Contemplate about game.";
SCEN5LINE4= "You decide that now would be a good time to converse to\nthe leader of the other team about the game. Tonight,\nafter all, is the night you all decided to settle this strange\nrivalry. You gave up your birthday just for this.";
SCEN5LINE5= "You still can't believe you two used to be friends.";
SCEN5LINE6= "> Byakuren: Return to room.";
SCEN5LINE7= "> Byakuren: Contact VV.";
SCEN5LINE8= "\c[Hijiri]virtuousBlossom [VB]\n\nstarted preaching to\n\n\c[Miko]victoriousVigilante [VV]";
SCEN5LINE8a= "virtuousBlossom [VB] started preaching to victoriousVigilante [VV]";
// Byak_4
SCEN5LINE9= "VB: I'm sorry for most likely bothering\nyou but this is urgent, I expect you to\nrespond A.S.A.P.";
// Miko_1
SCEN5LINE10= "VV: yes, I'm aware that this is about the\nextra player.";
// Miko_2
SCEN5LINE11= "VV: honestly, I thought my other\nteammate was just numerically-\nchallenged when she kept referring to\nthe number of players as 13 rather\nthan 12.";
// Byak_6
SCEN5LINE12= "VB: So you knew? Or were you the one\nwho had coaxed Nue into letting their\nfriend enter in? Or were you using her\nto let someone else get on your side\nfor a better chance of winning?";
// Miko_1
SCEN5LINE13= "VV: ha, I'm really sorry, Hijiri, I'm not\nthat petty of a person. it certainly\nwasn't me who let them in. I'm not the\ntype to use someone for my own gains.";
// Miko_2
SCEN5LINE14= "VV: I would be winking as hard as I can\nright now, but you'd see that and you'd\nprobably get all hostile and suspicious.";
// Byak_1
SCEN5LINE15= "VB: ... Apologies but was that directed\nat me?";
// Byak_6
SCEN5LINE16= "VB: Nevermind, that's not important.";
// Byak_5
SCEN5LINE17= "VB: Moving on, since you knew about the\nsituation, why didn't you tell me?";
// Miko_6
SCEN5LINE18= "VV: I just found out. Miyako had told me\njust 5 minutes ago. it seems like there's\nanother copy that went to someone\nunlisted.";
// Byak_5
SCEN5LINE19= "VB: So, how do you expect for us to\nremedy this situation? It's extremely\nunwise to play the game with an uneven\namount of players. You should have\nknown that from Miyako as well.";
// Byak_6
SCEN5LINE20= "VB: She's the one leading everyone\naround, and she just happens to be\nunder your company, so I have the right\nto assume that you all should be quite\nknowledgeable about these things.";
// Miko_6
SCEN5LINE21= "VV: Hijiri, please, we can choose to work\ntogether. I honestly do not mind that\nso long as you don't harm anyone on my\nteam.";
// Byak_6
SCEN5LINE22= "VB: I figured. I volunteer the newest\naddition to serve first.";
// Miko_2
SCEN5LINE23= "VV: whoa there, soldier, since when did\nyou speak for the entire group?";
// Byak_5
SCEN5LINE24= "VB: When we were appointing leaders\n(i.e. you and I).";
// Miko_4
SCEN5LINE25= "VV: oh right, good point.";
// Miko_6
SCEN5LINE26= "VV: I'm just going to guess that you\nalready asked them, I trust that you\ndon't do anything to screw them over,\ncapiche?";
SCEN5LINE27= "VV: because if one person gets the bad\nend of things, it will create a domino\neffect. we are only as strong as our\nweakest soldier, please, remember\nthat, for the sake of everyone else.";
// Miko_1
SCEN5LINE28= "VV: anyway, I'm going to try and set up\na small graph to clear things up and\nwhile I'm at this, it would be great if you\nset up a memo for everyone. I hope I'm\nnot being too demanding here.";
// Byak_1
SCEN5LINE29= "VB: Understood.";
// Miko_1
SCEN5LINE30= "VV: we can tell them about the situation\nthere. let's keep it organized if we want\nto do this in the most efficient way\npossible!";
// Byak_6
SCEN5LINE31= "VB: Okay, General. I got you the first\ntime.";
// Miko_1
SCEN5LINE32= "VV: I'm sure it won't be that bad.";
// Byak_1
SCEN5LINE33= "VB: Whatever you say.";
SCEN5LINE34= "\c[Hijiri]virtuousBlossom [VB]\n\nceased preaching to\n\n\c[Miko]victoriousVigilante [VV]";
SCEN5LINE34a= "virtuousBlossom [VB] ceased preaching to victoriousVigilante [VV]";
SCEN5LINE35= "> Byakuren: Start that memo.";
SCEN5LINE36= "Looks like you're in charge of setting up that memo.\n\nWow.";
SCEN5LINE37= "Just interact with your computer whenever you're ready.";

// Group Chat
SCEN5LINE38= "> Byakuren: Create MEMO.";
SCEN5LINE39= "\c[Hijiri]virtuousBlossom [VB]\c- opened public bulletin board #TEST";
SCEN5LINE39a= "virtuousBlossom [VB] opened public bulletin board #TEST";
SCEN5LINE40= "\c[Hijiri]CURRENT virtuousBlossom [CVB]\c- AT 1:23AM opened memo on\nboard #TEST.";
SCEN5LINE40a= "CURRENT virtuousBlossom [CVB] AT 1:23AM opened memo on board #TEST.";
SCEN5LINE41= "\c[Kyouko]CURRENT bombasticVisionary [CBV]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE41a= "CURRENT bombasticVisionary [CBV] RIGHT NOW responded to memo.";
// Kyouko_3 x 2
SCEN5LINE42= "CBV: HAHA FIRST PASTE!! !!";
// Kyouko_1
SCEN5LINE43= "CBV: post*";
// Kyouko_2
SCEN5LINE44= "CBV: sorry for the repeats i thought my\nmessage didnt get thru";
// Kyouko_1
SCEN5LINE45= "CBV: my mic kinda sucks";
// Byak_1
SCEN5LINE46= "CVB: That was quick...?";
// Kyouko_1
SCEN5LINE47= "CBV: that name though";
// Kyouko_3
SCEN5LINE48= "CBV: hold on\n\ni'm gonna fix it";
SCEN5LINE49= "\c[Kyouko]CURRENT bombasticVisionary [CBV]\c- permanently renamed\npublic bulletin board to TOAST AND BANANAS.";
SCEN5LINE49a= "CURRENT bombasticVisionary [CBV] permanently renamed public bulletin board to TOAST AND BANANAS.";
// Byak_5
SCEN5LINE50= "CVB: W H A T";
// Kyouko_2
SCEN5LINE51= "CBV: now were cooking with petrol!! !!";
// Byak_5
SCEN5LINE52= "CVB: W H A T  I S  T H A T  E V E N";
// Kyouko_3
SCEN5LINE53= "CBV: dont worry byakak i will get the\nOTHERS!! !!";
// Byak_4
SCEN5LINE54= "CVB: Um, okay.";
SCEN5LINE55= "\c[Miko]CURRENT victoriousVigilante [CVV]\c- RIGHT NOW responded to\nmemo.";
SCEN5LINE55a= "CURRENT victoriousVigilante [CVV] RIGHT NOW responded to memo.";
// Miko_2
SCEN5LINE56= "CVV: wow that is an A+ name choice. a\ngold star to whoever came up with that.\ni'm guessing the theme is breakfast.";
// Kyouko_2
SCEN5LINE57= "CBV: thanks but no its not breakfast i\njust thought itd be cool";
// Miko_1
SCEN5LINE58= "CVV: no big deal. give me a second to get\nthe others on board.";
SCEN5LINE59= "\c[Futo]? vanguardDemolitionist [?VD]\c- ? HOURS AGO responded to\nmemo.";
SCEN5LINE59a= "? vanguardDemolitionist [?VD] ? HOURS AGO responded to memo.";
// Miko_6
SCEN5LINE60= "CVV: oh... uh. whoa.";
// Futo_6
SCEN5LINE61= "?VD: I am still not sure how to work this\nproperly, in all honesty! But I see this\nhere. Some sort of food fanatics board.";
// Futo_1
SCEN5LINE62= "?VD: Pray tell, why invite me here, bro?\nAre you in the mood to discuss breakfast\nwith the enemy?";
// Miko_1
SCEN5LINE63= "CVV: this is the memo Hijiri made. we're\nteaming up with them now since we have\n13 people.";
// Futo_2
SCEN5LINE64= "?VD: Oh, I am aware! I always found it\nstrange that you all referred to it as 12\nbut I knew it was 13. Furthermore, I\nwould like to mention that teaming up is\nquite odd to agree on at this point.";
// Futo_3
SCEN5LINE65= "?VD: Though, it is more than terrific that\nyou all have come to your senses and\nfinally listened to the Taomeister.";
// Futo_2
SCEN5LINE66= "?VD: I am referring to myself.";
// Kyouko_2
SCEN5LINE67= "CBV: oh huh!! !! so formal!! !!\n\n:D <-- for you";
// Futo_6
SCEN5LINE68= "?VD: Pardon, Miss Green-text, I am still\nnot too well-versed on modern coding\nlanguage. I cannot make sense of that list\nbit there.";
// Futo_3
SCEN5LINE69= "?VD: Although, I will definitely greet you\nwith a good tut-tut HELLO! Such as that,\nas you see right there.";
// Kyouko_2
SCEN5LINE70= "CBV: it was a little happy face for you!! !!\nyknow for being so rad.............";
// Byak_6
SCEN5LINE71= "CVB: She's not that rad.";
// Futo_2
SCEN5LINE72= "?VD: I digress, anyway, I have to make\nsure the golem I am building for HV does\nnot have some kind of self-destruction\nbug in the works.";
// Futo_3
SCEN5LINE73= "?VD: But I shall definitely keep this board\nsaved for future reference! Just\nanother addition to the many I am in with\nothers.";
// Miko_1
SCEN5LINE74= "CVV: hey, the bot'll look really great\nwhen it's done, by the way. you're really\ngetting much better at it, you know?";
// Futo_1
SCEN5LINE75= "?VD: Ahh, then I am excited to get it\nfinished! Thank you.";
// Miko_2
